Date,Close,Date
2022-05-09 00:00:00-03:00,,2022-05-09 00:00:00-03:00
2022-05-10 00:00:00-03:00,,2022-05-10 00:00:00-03:00
2022-05-11 00:00:00-03:00,,2022-05-11 00:00:00-03:00
2022-05-12 00:00:00-03:00,,2022-05-12 00:00:00-03:00
2022-05-13 00:00:00-03:00,,2022-05-13 00:00:00-03:00
2022-05-16 00:00:00-03:00,,2022-05-16 00:00:00-03:00
2022-05-17 00:00:00-03:00,,2022-05-17 00:00:00-03:00
2022-05-18 00:00:00-03:00,,2022-05-18 00:00:00-03:00
2022-05-19 00:00:00-03:00,,2022-05-19 00:00:00-03:00
2022-05-20 00:00:00-03:00,,2022-05-20 00:00:00-03:00
2022-05-23 00:00:00-03:00,,2022-05-23 00:00:00-03:00
2022-05-24 00:00:00-03:00,,2022-05-24 00:00:00-03:00
2022-05-25 00:00:00-03:00,,2022-05-25 00:00:00-03:00
2022-05-26 00:00:00-03:00,54.66667811075846,2022-05-26 00:00:00-03:00
2022-05-27 00:00:00-03:00,61.56716484300132,2022-05-27 00:00:00-03:00
2022-05-30 00:00:00-03:00,67.3956304641949,2022-05-30 00:00:00-03:00
2022-05-31 00:00:00-03:00,80.00001753884415,2022-05-31 00:00:00-03:00
2022-06-01 00:00:00-03:00,76.03306914170298,2022-06-01 00:00:00-03:00
2022-06-02 00:00:00-03:00,62.20930941753763,2022-06-02 00:00:00-03:00
2022-06-03 00:00:00-03:00,48.78705963884777,2022-06-03 00:00:00-03:00
2022-06-06 00:00:00-03:00,34.78259066777445,2022-06-06 00:00:00-03:00
2022-06-07 00:00:00-03:00,34.22458583991726,2022-06-07 00:00:00-03:00
2022-06-08 00:00:00-03:00,37.7581041278093,2022-06-08 00:00:00-03:00
2022-06-09 00:00:00-03:00,34.06247764823693,2022-06-09 00:00:00-03:00
2022-06-10 00:00:00-03:00,25.947516191618057,2022-06-10 00:00:00-03:00
2022-06-13 00:00:00-03:00,26.099704612486452,2022-06-13 00:00:00-03:00
2022-06-14 00:00:00-03:00,25.141232740241186,2022-06-14 00:00:00-03:00
2022-06-15 00:00:00-03:00,24.285683923821594,2022-06-15 00:00:00-03:00
2022-06-17 00:00:00-03:00,22.432437308781854,2022-06-17 00:00:00-03:00
2022-06-20 00:00:00-03:00,20.9366502641652,2022-06-20 00:00:00-03:00
2022-06-21 00:00:00-03:00,29.135782119418977,2022-06-21 00:00:00-03:00
2022-06-22 00:00:00-03:00,21.065957042019363,2022-06-22 00:00:00-03:00
2022-06-23 00:00:00-03:00,22.739697823373096,2022-06-23 00:00:00-03:00
2022-06-24 00:00:00-03:00,24.411736491607428,2022-06-24 00:00:00-03:00
2022-06-27 00:00:00-03:00,29.59183342470016,2022-06-27 00:00:00-03:00
2022-06-28 00:00:00-03:00,31.071420056471236,2022-06-28 00:00:00-03:00
2022-06-29 00:00:00-03:00,32.70675209109394,2022-06-29 00:00:00-03:00
2022-06-30 00:00:00-03:00,26.510054871519433,2022-06-30 00:00:00-03:00
2022-07-01 00:00:00-03:00,37.14285714285711,2022-07-01 00:00:00-03:00
2022-07-04 00:00:00-03:00,35.254217343430824,2022-07-04 00:00:00-03:00
2022-07-05 00:00:00-03:00,47.73414436960388,2022-07-05 00:00:00-03:00
2022-07-06 00:00:00-03:00,40.597028521975716,2022-07-06 00:00:00-03:00
2022-07-07 00:00:00-03:00,44.33961358799834,2022-07-07 00:00:00-03:00
2022-07-08 00:00:00-03:00,42.90121876054114,2022-07-08 00:00:00-03:00
2022-07-11 00:00:00-03:00,30.555581310639433,2022-07-11 00:00:00-03:00
2022-07-12 00:00:00-03:00,38.46154359157679,2022-07-12 00:00:00-03:00
2022-07-13 00:00:00-03:00,34.16148957948313,2022-07-13 00:00:00-03:00
2022-07-14 00:00:00-03:00,39.795913733361814,2022-07-14 00:00:00-03:00
2022-07-15 00:00:00-03:00,37.17103715252844,2022-07-15 00:00:00-03:00
2022-07-18 00:00:00-03:00,41.42393223908658,2022-07-18 00:00:00-03:00
2022-07-19 00:00:00-03:00,41.157559425317146,2022-07-19 00:00:00-03:00
2022-07-20 00:00:00-03:00,56.666680152981016,2022-07-20 00:00:00-03:00
2022-07-21 00:00:00-03:00,51.59236403903865,2022-07-21 00:00:00-03:00
2022-07-22 00:00:00-03:00,59.14635600114668,2022-07-22 00:00:00-03:00
2022-07-25 00:00:00-03:00,50.1791815756767,2022-07-25 00:00:00-03:00
2022-07-26 00:00:00-03:00,50.72462065481588,2022-07-26 00:00:00-03:00
2022-07-27 00:00:00-03:00,54.515061047958035,2022-07-27 00:00:00-03:00
2022-07-28 00:00:00-03:00,59.493683110718685,2022-07-28 00:00:00-03:00
2022-07-29 00:00:00-03:00,57.49235456168582,2022-07-29 00:00:00-03:00
2022-08-01 00:00:00-03:00,55.873029905413595,2022-08-01 00:00:00-03:00
2022-08-02 00:00:00-03:00,69.31036183723737,2022-08-02 00:00:00-03:00
2022-08-03 00:00:00-03:00,73.82354442636203,2022-08-03 00:00:00-03:00
2022-08-04 00:00:00-03:00,78.07017592781077,2022-08-04 00:00:00-03:00
2022-08-05 00:00:00-03:00,80.26316383868854,2022-08-05 00:00:00-03:00
2022-08-08 00:00:00-03:00,87.59840864103711,2022-08-08 00:00:00-03:00
2022-08-09 00:00:00-03:00,86.8749808768477,2022-08-09 00:00:00-03:00
2022-08-10 00:00:00-03:00,86.51449564693334,2022-08-10 00:00:00-03:00
2022-08-11 00:00:00-03:00,79.87550003581228,2022-08-11 00:00:00-03:00
2022-08-12 00:00:00-03:00,81.30081174740661,2022-08-12 00:00:00-03:00
2022-08-15 00:00:00-03:00,86.52342927816925,2022-08-15 00:00:00-03:00
