Date,Close,Date
2022-04-25 00:00:00-03:00,,2022-04-25 00:00:00-03:00
2022-04-26 00:00:00-03:00,,2022-04-26 00:00:00-03:00
2022-04-27 00:00:00-03:00,,2022-04-27 00:00:00-03:00
2022-04-28 00:00:00-03:00,,2022-04-28 00:00:00-03:00
2022-04-29 00:00:00-03:00,,2022-04-29 00:00:00-03:00
2022-05-02 00:00:00-03:00,,2022-05-02 00:00:00-03:00
2022-05-03 00:00:00-03:00,,2022-05-03 00:00:00-03:00
2022-05-04 00:00:00-03:00,,2022-05-04 00:00:00-03:00
2022-05-05 00:00:00-03:00,,2022-05-05 00:00:00-03:00
2022-05-06 00:00:00-03:00,,2022-05-06 00:00:00-03:00
2022-05-09 00:00:00-03:00,,2022-05-09 00:00:00-03:00
2022-05-10 00:00:00-03:00,,2022-05-10 00:00:00-03:00
2022-05-11 00:00:00-03:00,,2022-05-11 00:00:00-03:00
2022-05-12 00:00:00-03:00,25.574263932702422,2022-05-12 00:00:00-03:00
2022-05-13 00:00:00-03:00,25.0,2022-05-13 00:00:00-03:00
2022-05-16 00:00:00-03:00,26.5139112371092,2022-05-16 00:00:00-03:00
2022-05-17 00:00:00-03:00,32.73273337775221,2022-05-17 00:00:00-03:00
2022-05-18 00:00:00-03:00,27.61194284787046,2022-05-18 00:00:00-03:00
2022-05-19 00:00:00-03:00,30.327873209476582,2022-05-19 00:00:00-03:00
2022-05-20 00:00:00-03:00,33.78607771361659,2022-05-20 00:00:00-03:00
2022-05-23 00:00:00-03:00,28.440358945589452,2022-05-23 00:00:00-03:00
2022-05-24 00:00:00-03:00,25.906735921979887,2022-05-24 00:00:00-03:00
2022-05-25 00:00:00-03:00,34.49541011489586,2022-05-25 00:00:00-03:00
2022-05-26 00:00:00-03:00,45.847755318218645,2022-05-26 00:00:00-03:00
2022-05-27 00:00:00-03:00,58.888889124363956,2022-05-27 00:00:00-03:00
2022-05-30 00:00:00-03:00,63.54915869708452,2022-05-30 00:00:00-03:00
2022-05-31 00:00:00-03:00,67.42423558257148,2022-05-31 00:00:00-03:00
2022-06-01 00:00:00-03:00,64.49275011776957,2022-06-01 00:00:00-03:00
2022-06-02 00:00:00-03:00,60.800002848306605,2022-06-02 00:00:00-03:00
2022-06-03 00:00:00-03:00,58.6118233021048,2022-06-03 00:00:00-03:00
