Date,Close,Date
2022-08-16 00:00:00-03:00,72.71061439321346,2022-08-16 00:00:00-03:00
2022-08-17 00:00:00-03:00,71.51051029038007,2022-08-17 00:00:00-03:00
2022-08-18 00:00:00-03:00,76.62833884070888,2022-08-18 00:00:00-03:00
2022-08-19 00:00:00-03:00,74.01867846108762,2022-08-19 00:00:00-03:00
2022-08-22 00:00:00-03:00,67.46166579720406,2022-08-22 00:00:00-03:00
2022-08-23 00:00:00-03:00,65.70915167526456,2022-08-23 00:00:00-03:00
2022-08-24 00:00:00-03:00,63.54961470841963,2022-08-24 00:00:00-03:00
2022-08-25 00:00:00-03:00,67.66355020238392,2022-08-25 00:00:00-03:00
2022-08-26 00:00:00-03:00,67.17266896320591,2022-08-26 00:00:00-03:00
2022-08-29 00:00:00-03:00,75.56008459149719,2022-08-29 00:00:00-03:00
2022-08-30 00:00:00-03:00,67.27273397209287,2022-08-30 00:00:00-03:00
2022-08-31 00:00:00-03:00,66.0377362734401,2022-08-31 00:00:00-03:00
2022-09-01 00:00:00-03:00,58.806833729523774,2022-09-01 00:00:00-03:00
2022-09-02 00:00:00-03:00,56.28571000391006,2022-09-02 00:00:00-03:00
2022-09-05 00:00:00-03:00,63.141025249147525,2022-09-05 00:00:00-03:00
2022-09-06 00:00:00-03:00,54.268304738600094,2022-09-06 00:00:00-03:00
2022-09-08 00:00:00-03:00,54.68278789956739,2022-09-08 00:00:00-03:00
2022-09-09 00:00:00-03:00,61.11112040618739,2022-09-09 00:00:00-03:00
2022-09-12 00:00:00-03:00,72.88137127428394,2022-09-12 00:00:00-03:00
2022-09-13 00:00:00-03:00,59.4202833450066,2022-09-13 00:00:00-03:00
2022-09-14 00:00:00-03:00,55.02008078273304,2022-09-14 00:00:00-03:00
2022-09-15 00:00:00-03:00,42.51968267425299,2022-09-15 00:00:00-03:00
2022-09-16 00:00:00-03:00,38.61003633535759,2022-09-16 00:00:00-03:00
2022-09-19 00:00:00-03:00,41.75824674868728,2022-09-19 00:00:00-03:00
2022-09-20 00:00:00-03:00,43.18180997181605,2022-09-20 00:00:00-03:00
2022-09-21 00:00:00-03:00,48.27587340872174,2022-09-21 00:00:00-03:00
2022-09-22 00:00:00-03:00,58.26328818654818,2022-09-22 00:00:00-03:00
2022-09-23 00:00:00-03:00,56.986301584614125,2022-09-23 00:00:00-03:00
2022-09-26 00:00:00-03:00,49.760771554230836,2022-09-26 00:00:00-03:00
2022-09-27 00:00:00-03:00,53.196929511548234,2022-09-27 00:00:00-03:00
2022-09-28 00:00:00-03:00,51.200001424152944,2022-09-28 00:00:00-03:00
2022-09-29 00:00:00-03:00,44.0860306021604,2022-09-29 00:00:00-03:00
2022-09-30 00:00:00-03:00,46.39174472210233,2022-09-30 00:00:00-03:00
2022-10-03 00:00:00-03:00,61.233482952339834,2022-10-03 00:00:00-03:00
2022-10-04 00:00:00-03:00,59.44205969058798,2022-10-04 00:00:00-03:00
2022-10-05 00:00:00-03:00,62.52822273008308,2022-10-05 00:00:00-03:00
2022-10-06 00:00:00-03:00,68.77551322279272,2022-10-06 00:00:00-03:00
2022-10-07 00:00:00-03:00,61.445789823526155,2022-10-07 00:00:00-03:00
2022-10-10 00:00:00-03:00,63.429761551731445,2022-10-10 00:00:00-03:00
2022-10-11 00:00:00-03:00,54.35685098845859,2022-10-11 00:00:00-03:00
2022-10-13 00:00:00-03:00,44.70045708276116,2022-10-13 00:00:00-03:00
2022-10-14 00:00:00-03:00,45.01160452179169,2022-10-14 00:00:00-03:00
2022-10-17 00:00:00-03:00,51.18733801363831,2022-10-17 00:00:00-03:00
