Date,Close,Date
2022-04-18 00:00:00-03:00,,2022-04-18 00:00:00-03:00
2022-04-19 00:00:00-03:00,,2022-04-19 00:00:00-03:00
2022-04-20 00:00:00-03:00,,2022-04-20 00:00:00-03:00
2022-04-22 00:00:00-03:00,,2022-04-22 00:00:00-03:00
2022-04-25 00:00:00-03:00,,2022-04-25 00:00:00-03:00
2022-04-26 00:00:00-03:00,,2022-04-26 00:00:00-03:00
2022-04-27 00:00:00-03:00,,2022-04-27 00:00:00-03:00
2022-04-28 00:00:00-03:00,,2022-04-28 00:00:00-03:00
2022-04-29 00:00:00-03:00,,2022-04-29 00:00:00-03:00
2022-05-02 00:00:00-03:00,,2022-05-02 00:00:00-03:00
2022-05-03 00:00:00-03:00,,2022-05-03 00:00:00-03:00
2022-05-04 00:00:00-03:00,,2022-05-04 00:00:00-03:00
2022-05-05 00:00:00-03:00,,2022-05-05 00:00:00-03:00
2022-05-06 00:00:00-03:00,52.65152445617751,2022-05-06 00:00:00-03:00
2022-05-09 00:00:00-03:00,51.86134098035211,2022-05-09 00:00:00-03:00
2022-05-10 00:00:00-03:00,36.298285203505245,2022-05-10 00:00:00-03:00
2022-05-11 00:00:00-03:00,31.14753558792068,2022-05-11 00:00:00-03:00
2022-05-12 00:00:00-03:00,35.24381425267192,2022-05-12 00:00:00-03:00
2022-05-13 00:00:00-03:00,29.18151338249224,2022-05-13 00:00:00-03:00
2022-05-16 00:00:00-03:00,26.364469174698304,2022-05-16 00:00:00-03:00
2022-05-17 00:00:00-03:00,27.039420753421954,2022-05-17 00:00:00-03:00
2022-05-18 00:00:00-03:00,30.542336794630245,2022-05-18 00:00:00-03:00
2022-05-19 00:00:00-03:00,33.537824015277515,2022-05-19 00:00:00-03:00
2022-05-20 00:00:00-03:00,35.2309306060904,2022-05-20 00:00:00-03:00
2022-05-23 00:00:00-03:00,31.477250954325047,2022-05-23 00:00:00-03:00
2022-05-24 00:00:00-03:00,31.164354331600116,2022-05-24 00:00:00-03:00
2022-05-25 00:00:00-03:00,32.19337654561736,2022-05-25 00:00:00-03:00
2022-05-26 00:00:00-03:00,27.291864720861632,2022-05-26 00:00:00-03:00
2022-05-27 00:00:00-03:00,23.958329194121198,2022-05-27 00:00:00-03:00
2022-05-30 00:00:00-03:00,40.63047402464666,2022-05-30 00:00:00-03:00
2022-05-31 00:00:00-03:00,51.64411913361397,2022-05-31 00:00:00-03:00
2022-06-01 00:00:00-03:00,44.53605831056962,2022-06-01 00:00:00-03:00
2022-06-02 00:00:00-03:00,54.365061644390316,2022-06-02 00:00:00-03:00
