Aroon_Date,Aroon_Down,Aroon_Up
2022-05-27 00:00:00-03:00,88.0,0.0
2022-05-30 00:00:00-03:00,84.0,32.0
2022-05-31 00:00:00-03:00,80.0,28.000000000000004
2022-06-01 00:00:00-03:00,76.0,24.0
2022-06-02 00:00:00-03:00,96.0,20.0
2022-06-03 00:00:00-03:00,92.0,16.0
2022-06-06 00:00:00-03:00,88.0,12.0
2022-06-07 00:00:00-03:00,84.0,8.0
2022-06-08 00:00:00-03:00,80.0,4.0
2022-06-09 00:00:00-03:00,76.0,0.0
2022-06-10 00:00:00-03:00,72.0,0.0
2022-06-13 00:00:00-03:00,68.0,24.0
2022-06-14 00:00:00-03:00,96.0,20.0
2022-06-15 00:00:00-03:00,96.0,16.0
2022-06-17 00:00:00-03:00,92.0,12.0
2022-06-20 00:00:00-03:00,96.0,8.0
2022-06-21 00:00:00-03:00,96.0,4.0
2022-06-22 00:00:00-03:00,96.0,0.0
2022-06-23 00:00:00-03:00,96.0,0.0
2022-06-24 00:00:00-03:00,92.0,32.0
2022-06-27 00:00:00-03:00,88.0,28.000000000000004
2022-06-28 00:00:00-03:00,84.0,24.0
2022-06-29 00:00:00-03:00,80.0,20.0
2022-06-30 00:00:00-03:00,76.0,16.0
2022-07-01 00:00:00-03:00,96.0,12.0
2022-07-04 00:00:00-03:00,92.0,8.0
2022-07-05 00:00:00-03:00,88.0,4.0
2022-07-06 00:00:00-03:00,84.0,0.0
2022-07-07 00:00:00-03:00,80.0,8.0
2022-07-08 00:00:00-03:00,76.0,4.0
2022-07-11 00:00:00-03:00,72.0,0.0
2022-07-12 00:00:00-03:00,68.0,12.0
2022-07-13 00:00:00-03:00,64.0,8.0
2022-07-14 00:00:00-03:00,60.0,4.0
2022-07-15 00:00:00-03:00,96.0,0.0
2022-07-18 00:00:00-03:00,96.0,0.0
2022-07-19 00:00:00-03:00,92.0,0.0
2022-07-20 00:00:00-03:00,88.0,0.0
2022-07-21 00:00:00-03:00,84.0,0.0
2022-07-22 00:00:00-03:00,80.0,60.0
2022-07-25 00:00:00-03:00,76.0,56.00000000000001
2022-07-26 00:00:00-03:00,72.0,52.0
2022-07-27 00:00:00-03:00,96.0,48.0
