,ações
0,RRRP3.SA
1,ALPA4.SA
2,ABEV3.SA
3,AMER3.SA
4,ARZZ3.SA
5,ASAI3.SA
6,AZUL4.SA
7,B3SA3.SA
8,BPAN4.SA
9,BBSE3.SA
10,BRML3.SA
11,BBDC3.SA
12,BBDC4.SA
13,BRAP4.SA
14,BBAS3.SA
15,BRKM5.SA
16,BRFS3.SA
17,BPAC11.SA
18,CRFB3.SA
19,CCRO3.SA
20,CMIG4.SA
21,CIEL3.SA
22,COGN3.SA
23,CPLE6.SA
24,CSAN3.SA
25,CPFE3.SA
26,CMIN3.SA
27,CVCB3.SA
28,CYRE3.SA
29,DXCO3.SA
30,ECOR3.SA
31,ELET3.SA
32,ELET6.SA
33,EMBR3.SA
34,ENBR3.SA
35,ENGI11.SA
36,ENEV3.SA
37,EGIE3.SA
38,EQTL3.SA
39,EZTC3.SA
40,FLRY3.SA
41,GGBR4.SA
42,GOAU4.SA
43,GOLL4.SA
44,NTCO3.SA
45,SOMA3.SA
46,HAPV3.SA
47,HYPE3.SA
48,IGTI11.SA
49,IRBR3.SA
50,ITSA4.SA
51,ITUB4.SA
52,JBSS3.SA
53,KLBN11.SA
54,RENT3.SA
55,LWSA3.SA
56,LREN3.SA
57,MGLU3.SA
58,MRFG3.SA
59,CASH3.SA
60,BEEF3.SA
61,MRVE3.SA
62,MULT3.SA
63,PCAR3.SA
64,PETR3.SA
65,PETR4.SA
66,PRIO3.SA
67,PETZ3.SA
68,POSI3.SA
69,QUAL3.SA
70,RADL3.SA
71,RAIZ4.SA
72,RDOR3.SA
73,RAIL3.SA
74,SBSP3.SA
75,SANB11.SA
76,SMTO3.SA
77,CSNA3.SA
78,SLCE3.SA
79,SULA11.SA
80,SUZB3.SA
81,TAEE11.SA
82,VIVT3.SA
83,TIMS3.SA
84,TOTS3.SA
85,UGPA3.SA
86,USIM5.SA
87,VALE3.SA
88,VIIA3.SA
89,VBBR3.SA
90,WEGE3.SA
91,YDUQ3.SA
