,dates,high,low,close,psar,psarbear,psarbull
0,2022-04-11 00:00:00-03:00,45.33000183105469,43.83000183105469,43.83000183105469,43.83000183105469,,
1,2022-04-12 00:00:00-03:00,45.79999923706055,43.40999984741211,43.70000076293945,43.70000076293945,,
2,2022-04-13 00:00:00-03:00,44.79999923706055,43.31999969482422,44.310001373291016,45.33000183105469,45.33000183105469,
3,2022-04-14 00:00:00-03:00,44.63999938964844,41.459999084472656,41.459999084472656,45.79999923706055,45.79999923706055,
4,2022-04-18 00:00:00-03:00,41.95000076293945,40.34999847412109,41.650001525878906,44.93199920654297,44.93199920654297,
5,2022-04-19 00:00:00-03:00,44.380001068115234,41.02999877929688,43.9900016784668,40.34999847412109,,40.34999847412109
6,2022-04-20 00:00:00-03:00,44.34000015258789,41.63999938964844,41.77000045776367,40.34999847412109,,40.34999847412109
7,2022-04-22 00:00:00-03:00,40.560001373291016,39.0,39.25,44.380001068115234,44.380001068115234,
8,2022-04-25 00:00:00-03:00,42.34999847412109,38.810001373291016,42.04999923706055,44.34000015258789,44.34000015258789,
9,2022-04-26 00:00:00-03:00,43.15999984741211,41.52999877929688,42.7400016784668,43.23400039672852,43.23400039672852,
10,2022-04-27 00:00:00-03:00,44.400001525878906,41.959999084472656,42.20000076293945,38.810001373291016,,38.810001373291016
11,2022-04-28 00:00:00-03:00,43.959999084472656,41.70000076293945,42.400001525878906,39.928001403808594,,39.928001403808594
12,2022-04-29 00:00:00-03:00,42.77000045776367,40.25,40.400001525878906,44.400001525878906,44.400001525878906,
13,2022-05-02 00:00:00-03:00,42.20000076293945,40.13999938964844,42.20000076293945,43.959999084472656,43.959999084472656,
14,2022-05-03 00:00:00-03:00,43.08000183105469,40.68000030517578,40.95000076293945,43.19599914550781,43.19599914550781,
15,2022-05-04 00:00:00-03:00,42.0,38.540000915527344,42.0,43.08000183105469,43.08000183105469,
16,2022-05-05 00:00:00-03:00,41.380001068115234,37.720001220703125,39.18999862670898,43.08000183105469,43.08000183105469,
17,2022-05-06 00:00:00-03:00,41.25,37.5099983215332,39.130001068115234,42.008001708984374,42.008001708984374,
18,2022-05-09 00:00:00-03:00,38.5,32.900001525878906,33.0,41.380001068115234,41.380001068115234,
19,2022-05-10 00:00:00-03:00,35.70000076293945,32.91999816894531,33.349998474121094,41.25,41.25,
20,2022-05-11 00:00:00-03:00,32.9900016784668,29.049999237060547,29.299999237060547,39.58000030517578,39.58000030517578,
21,2022-05-12 00:00:00-03:00,31.700000762939453,27.670000076293945,30.780000686645508,37.47400009155273,37.47400009155273,
