,Fechamento baixa,Data baixa,Fechamento alta,Data alta,ticker
28,42.74433898925781,2006-11-17,61.8203239440918,2006-12-04,AMER3.SA
29,56.9630126953125,2006-12-11,64.02819061279297,2007-01-02,AMER3.SA
30,56.83053970336914,2007-01-19,65.35291290283203,2007-01-04,AMER3.SA
31,55.064247131347656,2007-01-29,62.173583984375,2007-02-05,AMER3.SA
32,56.51260757446289,2007-03-05,65.35291290283203,2007-02-26,AMER3.SA
33,59.17971420288086,2007-03-28,63.40998840332031,2007-03-21,AMER3.SA
34,62.261898040771484,2007-04-02,64.9996566772461,2007-04-13,AMER3.SA
35,61.99695587158203,2007-04-24,73.47787475585938,2007-05-09,AMER3.SA
36,67.82572937011719,2007-05-23,73.11578369140625,2007-06-01,AMER3.SA
37,67.9140396118164,2007-06-12,73.75164794921875,2007-06-15,AMER3.SA
38,70.91674041748047,2007-06-29,78.60012817382812,2007-07-13,AMER3.SA
39,69.7686538696289,2007-07-31,78.7767562866211,2007-07-23,AMER3.SA
40,60.40728759765625,2007-08-20,71.53495025634766,2007-08-10,AMER3.SA
41,63.5689582824707,2007-09-10,73.03630065917969,2007-09-21,AMER3.SA
42,70.70478820800781,2007-09-24,80.54305267333984,2007-10-10,AMER3.SA
43,76.74552154541016,2007-10-18,82.91871643066406,2007-11-01,AMER3.SA
44,65.79448699951172,2007-11-27,78.42350006103516,2007-11-07,AMER3.SA
45,61.37874984741211,2007-12-19,74.05191802978516,2007-12-07,AMER3.SA
46,60.76054763793945,2008-01-15,67.46363830566406,2008-01-03,AMER3.SA
47,53.86316680908203,2008-02-07,59.53297424316406,2008-02-11,AMER3.SA
48,58.685150146484375,2008-02-15,67.03089141845703,2008-02-22,AMER3.SA
49,54.154605865478516,2008-03-24,68.62055969238281,2008-03-05,AMER3.SA
50,48.944034576416016,2008-04-15,56.9630126953125,2008-04-03,AMER3.SA
51,44.02490234375,2008-04-29,57.775508880615234,2008-05-05,AMER3.SA
52,55.108402252197266,2008-05-09,62.200077056884766,2008-05-30,AMER3.SA
53,51.12540817260742,2008-06-20,62.261898040771484,2008-06-03,AMER3.SA
54,47.248390197753906,2008-07-07,52.23817443847656,2008-06-25,AMER3.SA
55,50.51603698730469,2008-07-24,52.98884963989258,2008-07-16,AMER3.SA
56,48.352325439453125,2008-08-25,54.88761520385742,2008-08-11,AMER3.SA
57,43.53916931152344,2008-09-15,51.35502624511719,2008-08-29,AMER3.SA
58,28.243057250976562,2008-10-06,44.15737533569336,2008-09-19,AMER3.SA
59,18.369468688964844,2008-10-27,27.200942993164062,2008-10-14,AMER3.SA
60,22.520261764526367,2008-10-28,27.174448013305664,2008-11-04,AMER3.SA
61,18.139848709106445,2008-12-04,22.961835861206055,2008-11-18,AMER3.SA
62,19.340930938720703,2008-12-23,24.90475845336914,2008-12-12,AMER3.SA
63,20.568504333496094,2009-01-14,22.378957748413086,2009-01-21,AMER3.SA
64,19.385086059570312,2009-02-10,22.069856643676758,2009-01-28,AMER3.SA
65,17.38917350769043,2009-03-09,19.694189071655273,2009-03-11,AMER3.SA
66,18.8110408782959,2009-03-27,21.813743591308594,2009-03-23,AMER3.SA
67,20.118099212646484,2009-04-03,28.61397933959961,2009-04-24,AMER3.SA
68,27.598358154296875,2009-04-27,34.49574279785156,2009-05-18,AMER3.SA
69,30.11532974243164,2009-05-21,36.62412643432617,2009-06-01,AMER3.SA
70,31.881624221801758,2009-06-23,34.168975830078125,2009-06-12,AMER3.SA
71,31.704994201660156,2009-07-10,34.00117874145508,2009-07-21,AMER3.SA
72,34.17780685424805,2009-07-22,44.069061279296875,2009-08-10,AMER3.SA
73,40.72193145751953,2009-08-17,44.21919631958008,2009-08-21,AMER3.SA
74,41.7905387878418,2009-09-02,43.94541931152344,2009-09-17,AMER3.SA
75,42.8326530456543,2009-10-02,49.2354736328125,2009-10-14,AMER3.SA
76,43.49501419067383,2009-10-28,48.57311248779297,2009-10-19,AMER3.SA
77,41.97600173950195,2009-11-19,44.59894943237305,2009-11-30,AMER3.SA
78,39.30006408691406,2009-12-21,45.879512786865234,2009-12-01,AMER3.SA
79,38.31977081298828,2009-12-23,41.075191497802734,2010-01-04,AMER3.SA
80,31.793310165405273,2010-02-05,38.41691589355469,2010-01-15,AMER3.SA
81,30.821847915649414,2010-02-08,35.06095504760742,2010-02-19,AMER3.SA
82,33.29465866088867,2010-03-22,36.09423828125,2010-03-11,AMER3.SA
83,32.30553436279297,2010-03-26,34.47807693481445,2010-04-08,AMER3.SA
84,32.13773727416992,2010-04-19,33.88636779785156,2010-04-30,AMER3.SA
85,25.346332550048828,2010-05-18,32.23488235473633,2010-05-07,AMER3.SA
86,25.2138614654541,2010-06-08,29.965194702148438,2010-06-18,AMER3.SA
87,25.222692489624023,2010-07-05,30.11532974243164,2010-06-23,AMER3.SA
88,25.337501525878906,2010-07-19,29.850385665893555,2010-07-30,AMER3.SA
89,25.505298614501953,2010-08-18,29.14386749267578,2010-08-05,AMER3.SA
90,24.55150032043457,2010-08-30,25.999862670898438,2010-09-14,AMER3.SA
91,26.061681747436523,2010-09-15,28.675798416137695,2010-09-22,AMER3.SA
92,25.867389678955078,2010-10-19,27.88979721069336,2010-10-06,AMER3.SA
93,27.041976928710938,2010-10-28,29.011394500732422,2010-11-05,AMER3.SA
94,26.935998916625977,2010-11-30,30.46858787536621,2010-12-03,AMER3.SA
95,27.192110061645508,2010-12-27,30.46858787536621,2010-12-13,AMER3.SA
96,26.724042892456055,2011-01-26,30.238969802856445,2011-01-10,AMER3.SA
97,22.46727180480957,2011-02-09,25.876220703125,2011-01-27,AMER3.SA
98,21.999204635620117,2011-02-25,23.8184871673584,2011-02-18,AMER3.SA
99,19.58489418029785,2011-03-28,23.05014991760254,2011-03-16,AMER3.SA
100,19.290048599243164,2011-04-14,20.46049690246582,2011-04-04,AMER3.SA
101,18.896921157836914,2011-05-03,21.577335357666016,2011-05-17,AMER3.SA
102,19.030942916870117,2011-06-01,20.889362335205078,2011-05-19,AMER3.SA
103,17.422693252563477,2011-06-29,19.736785888671875,2011-06-09,AMER3.SA
104,13.285921096801758,2011-07-18,17.020631790161133,2011-06-30,AMER3.SA
105,10.989699363708496,2011-08-08,14.429564476013184,2011-07-22,AMER3.SA
106,11.829562187194824,2011-08-25,14.340216636657715,2011-08-31,AMER3.SA
